#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
881,369,52368,0.09534547,0,39.18635,4.341051,1255.726,11.64567,397.0055,6.963866,213.0892,6.588454,163.8783,6.613162,193.3171,2.789984,583.0891,8.415226,195.9525,11.40249,364.3076,12.19881
951,129,52398,0.02783847,0,103.2072,6.687635,1156.664,14.18834,361.9435,8.36832,81.53527,5.665618,84.54435,5.681817,315.5712,4.93128,951.8355,14.87386,70.04189,12.47986,64.60387,12.59055
1162,66,52668,0.1248547,0,27.81951,3.719809,830.4221,7.979215,238.6348,8.244487,165.7605,4.068719,133.4633,4.082618,243.6058,2.31095,734.7712,6.970352,162.4177,8.411434,195.4923,8.638557
1623,105,53089,0.08045813,0,35.50721,4.50148,1416.606,12.82196,463.018,7.420829,127.8993,4.570622,133.3964,4.983855,170.4211,2.209155,514.0295,6.663315,175.692,9.681499,234.6149,10.05559
1819,565,54540,0.07694989,0,46.94133,3.857974,1083.266,10.1665,359.7048,5.963667,102.8443,4.240009,93.36008,4.320436,79.19592,1.673021,238.8732,5.046213,97.7783,7.635897,121.9763,7.679614
1820,211,54208,0.03746348,0,136.6389,8.114609,1752.719,14.26287,507.3295,9.640342,217.8362,8.348153,288.6657,8.365619,282.4166,4.620448,851.8338,13.93632,725.111,26.99679,292.7195,26.26587
2031,396,53848,0.1619091,0,51.30029,4.098071,762.5262,9.044386,185.6681,5.581437,76.20982,5.125474,64.39375,5.313581,200.0333,3.415181,603.3467,10.30096,152.8746,11.3624,68.21809,11.13867
2100,603,53713,0.1915814,0,34.67579,2.940567,1798.545,9.817573,586.6684,6.336784,124.0101,5.367136,100.626,5.635648,81.04684,2.025998,244.456,6.11087,303.8079,9.378966,123.1491,8.910748
2162,610,54207,0.08875041,0,31.19421,6.009659,5141.869,26.81603,1586.109,13.71037,649.9053,13.59497,746.9633,14.03828,855.4458,7.571046,2580.222,22.836,556.8743,27.30985,508.9193,27.43901
2365,359,53739,0.1109319,0,40.27036,2.682006,872.6749,6.9528,280.2073,4.081352,80.75031,2.821278,44.54448,2.970926,110.3163,1.74063,332.7395,5.250135,154.8629,5.601133,109.7887,5.421243
2366,98,53741,0.1598101,0,37.77811,3.065918,850.6433,7.643255,264.1483,4.582403,55.76762,3.303731,48.37213,3.128905,97.32693,2.017147,293.5605,6.084174,133.0687,6.090902,39.83321,5.778387
2367,125,53763,0.1109599,0,77.38605,5.766344,1541.007,14.31874,486.4426,8.373645,115.8372,4.55567,102.2324,4.657413,232.0125,3.430391,699.8033,10.34684,333.9364,14.41194,129.1905,13.62541
2371,144,53762,0.1198021,0,37.42384,3.52692,624.0663,6.678956,184.0842,4.148859,33.47618,3.199966,49.49918,2.979056,73.54745,2.0288,221.8361,6.119323,49.20641,6.659157,73.5341,6.827273
283,294,51959,0.3471135,0,24.78427,2.639853,418.2099,4.058855,133.7554,2.444223,25.59089,4.982526,29.65984,4.67299,44.78803,1.862395,135.091,5.617406,55.02592,3.681281,46.81826,3.681877
533,513,51994,0.1579955,0,26.86884,2.831451,877.6565,8.998656,282.094,5.164224,56.49329,3.663367,58.54561,3.913467,77.81784,2.075617,234.7166,6.260534,103.522,4.744299,84.58758,4.715903
662,324,52147,0.1638668,0,18.29725,3.176669,687.0033,8.797084,191.2127,5.25981,61.61987,4.286514,48.42831,3.538104,66.47514,1.585812,200.5044,4.783171,58.33804,6.210629,52.51394,6.024309
937,621,52707,0.2689166,0,28.86918,2.407402,973.8695,7.379322,316.765,4.066716,43.82493,3.326199,38.9024,3.483824,101.8586,2.102131,307.229,6.340506,95.34049,4.40016,78.00188,4.3481
